Make,Model,Miles,Year,Exterior Color,Interior Color,Other Info,Price
Ram,1500,"31,922 miles",2015,White,Gray,"1 accident, 1 Owner, Fleet use","$24,900 "
Ram,1500,"20,811 miles",2017,Black,Gray,"No accidents, 1 Owner, Personal use","$25,998 "
Ram,1500,"98,828 miles",2015,White,Black,"No accidents, 2 Owners, Personal use","$26,940 "
Nissan,Titan,"82,789 miles",2009,Unknown,Unknown,"No accidents, 1 Owner, Personal use","$17,995 "
Ford,F-150,"187,592 miles",2014,Gray,Black,"No accidents, 2 Owners, Personal use","$18,499 "
Nissan,Frontier,"20,444 miles",2019,White,Gray,"No accidents, 1 Owner, Personal use","$19,918 "
Nissan,Frontier,"38,232 miles",2019,Black,Gray,"No accidents, 1 Owner, Personal use","$26,977 "
Ford,F-150,"40,520 miles",2018,Gray,Black,"No accidents, 1 Owner, Personal use","$53,125 "
Ford,F-150,"16,995 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$33,961 "
Ford,F-150,"97,217 miles",2013,White,Black,"No accidents, 2 Owners, Personal use","$25,499 "
Toyota,Tacoma,"21,722 miles",2019,Gray,Gray,"1 accident, 2 Owners, Personal use","$32,897 "
Ford,F-150,"78,268 miles",2016,Black,Gray,"No accidents, 1 Owner, Personal use","$28,579 "
GMC,Sierra 1500,"39,949 miles",2018,White,Black,"No accidents, 1 Owner, Personal use","$39,997 "
Chevrolet,Silverado 1500,"10,558 miles",2020,White,Black,"No accidents, 1 Owner, Personal use","$37,250 "
GMC,Sierra 1500,"10,848 miles",2019,Black,Black,"No accidents, 2 Owners, Personal use","$53,997 "
Nissan,Frontier,"19,775 miles",2019,Gray,Gray,"No accidents, 1 Owner, Personal use","$30,699 "
Ford,F-150,"18,474 miles",2019,Red,Gray,"No accidents, Personal use","$36,569 "
Ram,1500,"25,617 miles",2019,Black,Black,"No accidents, 1 Owner, Personal use","$44,990 "
Honda,Ridgeline,"251,231 miles",2008,Unknown,Unknown,"No accidents, 2 Owners, Personal use","$6,990 "
Ford,F-150,"106,149 miles",2017,Gray,Gray,"No accidents, 1 Owner, Personal use","$26,900 "
Ram,2500,"14,220 miles",2019,Black,Black,"No accidents, 1 Owner, Personal use","$52,991 "
Chevrolet,Silverado 2500HD,"162,906 miles",2015,White,Black,"No accidents, 2 Owners, Personal use","$22,000 "
Chevrolet,Silverado 2500HD Classic,"180,465 miles",2007,Blue,Black,"No accidents, 4 Owners, Personal use","$12,597 "
Chevrolet,Silverado 1500,"135,482 miles",2017,Red,Brown,"No accidents, 1 Owner, Personal use","$30,828 "
Ram,1500,"49,327 miles",2017,Gray,Gray,"No accidents, 2 Owners, Personal use","$25,600 "
Toyota,Tacoma,"190,135 miles",2012,White,Gray,"No accidents, 4 Owners, Personal use","$13,888 "
Ford,F-150,"6,754 miles",2019,Silver,Black,"No accidents, 1 Owner, Personal use","$34,558 "
Ford,F-150,"52,063 miles",2018,Red,Gray,"No accidents, 1 Owner, Personal use","$35,394 "
Toyota,Tundra,"158,719 miles",2003,Gold,Unknown,"No accidents, 2 Owners, Personal use","$8,888 "
Ram,2500,"97,527 miles",2014,Blue,Unknown,"No accidents, 1 Owner, Personal use","$26,995 "
Ford,F-150,"18,691 miles",2018,Silver,Black,"No accidents, 1 Owner, Personal use","$39,989 "
Ford,Super Duty F-350,"60,195 miles",2017,White,Unknown,"No accidents, 1 Owner, Personal use","$59,995 "
Chevrolet,Silverado 1500,"102,705 miles",2015,Red,Black,"No accidents, 1 Owner, Fleet use","$24,995 "
Ford,F-150,"73,651 miles",2016,Red,Gray,"No accidents, 1 Owner, Personal use","$32,995 "
Ford,F-150,"26,417 miles",2017,Red,Unknown,"No accidents, 1 Owner, Personal use","$38,989 "
Ford,F-150,"15,622 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$41,989 "
Ford,F-150,"22,578 miles",2018,White,Black,"No accidents, 1 Owner, Fleet use","$40,995 "
Ford,F-150,"15,353 miles",2018,Gray,Gray,"No accidents, 2 Owners, Personal use","$39,989 "
Ford,F-150,"131,489 miles",2013,Black,Brown,"No accidents, 3 Owners, Personal use","$19,950 "
Toyota,Tacoma,"257,442 miles",2002,Unknown,Gray,"1 accident, 5 Owners, Personal use","$8,950 "
Ford,F-150,"232,252 miles",2011,Blue,Unknown,"No accidents, 2 Owners, Personal use","$12,975 "
Chevrolet,Silverado 1500,"12,667 miles",2020,White,Black,"No accidents, 1 Owner, Personal use","$42,975 "
Ford,F-150,"98,703 miles",2015,White,Unknown,"No accidents, 1 Owner, Personal use","$34,975 "
Ford,F-150,"79,285 miles",2016,Red,Unknown,"No accidents, 1 Owner, Personal use","$35,675 "
Chevrolet,Silverado 2500HD,"245,288 miles",2006,Gray,Black,"No accidents, 2 Owners, Personal use","$16,975 "
Toyota,Tacoma,"103,359 miles",2016,Red,Unknown,"1 accident, 1 Owner, Personal use","$30,975 "
Chevrolet,Silverado 1500,"13,847 miles",2020,Black,Black,"No accidents, 1 Owner, Personal use","$42,975 "
Ram,1500 Classic,"37,935 miles",2019,Black,Black,"No accidents, Personal use","$34,975 "
Toyota,Tundra,"15,574 miles",2019,Gray,Black,"No accidents, 1 Owner, Personal use","$47,996 "
Ram,2500,"77,250 miles",2015,Gray,Gray,"No accidents, 2 Owners, Personal use","$33,814 "
Nissan,Titan,"21,896 miles",2017,Blue,Black,"No accidents, 1 Owner, Personal use","$36,964 "
Ford,Super Duty F-350,"62,271 miles",2016,Unknown,Black,"No accidents, 3 Owners, Personal use","$52,685 "
Ford,F-150,25 miles,2020,Black,Gray,"No accidents, Personal use",
Ford,Super Duty F-250,"41,167 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use",
Ford,F-150,"25,875 miles",2018,White,Red,"No accidents, 1 Owner, Personal use",
Ram,2500,"57,673 miles",2013,Gray,Black,"1 accident, 2 Owners, Personal use",
Ram,1500,"134,127 miles",2013,Black,Black,"1 accident, 1 Owner, Personal use",
Ford,F-150,"8,503 miles",2018,Blue,Unknown,"No accidents, 1 Owner, Personal use",
Ford,Super Duty F-250,"42,207 miles",2017,Red,Unknown,"No accidents, 1 Owner, Personal use",
Toyota,Tacoma,"19,537 miles",2020,White,Unknown,"No accidents, 1 Owner, Personal use","$39,897 "
Nissan,Titan,"59,538 miles",2017,White,Black,"No accidents, 1 Owner, Personal use","$26,450 "
Ford,Super Duty F-350,"128,680 miles",2007,Gray,Gray,"No accidents, 2 Owners, Personal use","$17,779 "
Ford,F-150,"59,888 miles",2018,Unknown,Unknown,"No accidents, 1 Owner, Personal use","$30,984 "
Ram,1500 Classic,"3,094 miles",2020,Gray,Black,"No accidents, 1 Owner, Personal use","$36,790 "
Chevrolet,Silverado 3500HD,"195,860 miles",2014,White,Black,"1 accident, 2 Owners, Personal use","$14,900 "
Ford,F-150,"119,699 miles",2014,Black,Black,"No accidents, 2 Owners, Personal use","$23,995 "
Chevrolet,Silverado 1500,"37,959 miles",2018,White,Brown,"No accidents, 1 Owner, Personal use","$40,595 "
Toyota,Tundra,"109,608 miles",2012,White,Unknown,"No accidents, 3 Owners, Personal use","$22,995 "
Ram,3500,"63,439 miles",2017,Brown,Beige,"No accidents, 1 Owner, Personal use","$49,500 "
Ford,F-150,"13,655 miles",2019,Blue,Gray,"No accidents, 1 Owner, Personal use","$37,888 "
Ram,2500,"93,722 miles",2014,Gray,Black,"No accidents, 5 Owners, Personal use","$38,995 "
Ram,1500,"22,482 miles",2019,Black,Black,"No accidents, 1 Owner, Personal use","$50,995 "
Chevrolet,Silverado 2500HD,"113,318 miles",2016,White,Gray,"No accidents, 1 Owner, Personal use","$23,000 "
Nissan,Frontier,"53,655 miles",2018,Black,Gray,"No accidents, 2 Owners, Fleet use","$20,944 "
Ram,1500,"92,779 miles",2015,Silver,Gray,"No accidents, 3 Owners, Fleet use","$19,991 "
Chevrolet,Silverado 1500,"15,512 miles",2018,Blue,Black,"No accidents, 1 Owner, Personal use","$43,500 "
Ram,1500,"27,512 miles",2018,Gray,Gray,"No accidents, 1 Owner, Personal use","$29,999 "
Toyota,Tacoma,"101,413 miles",2009,Blue,Gray,"No accidents, 3 Owners, Personal use","$16,791 "
Ford,F-150,"20,073 miles",2018,White,Gray,"No accidents, 1 Owner, Personal use","$26,300 "
Toyota,Tacoma,"37,297 miles",2016,Gray,Brown,"No accidents, 2 Owners, Personal use","$35,590 "
Chevrolet,Silverado 1500,"29,325 miles",2018,White,Black,"No accidents, 1 Owner, Fleet use","$36,649 "
Ram,1500,"22,568 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$26,888 "
Nissan,Frontier,"58,902 miles",2016,Silver,Unknown,"1 accident, 2 Owners, Fleet use","$17,495 "
Ford,F-150,"121,458 miles",2013,Silver,Unknown,"No accidents, 2 Owners, Personal use","$23,763 "
GMC,Sierra 1500,"33,771 miles",2018,Black,Gray,"No accidents, Personal use","$29,900 "
Ram,1500,"82,909 miles",2016,Silver,Beige,"No accidents, 2 Owners, Personal use","$29,995 "
GMC,Sierra 3500HD,"125,707 miles",2016,White,Brown,"No accidents, 1 Owner, Personal use","$37,475 "
Toyota,Tacoma,"278,301 miles",2005,White,Gray,"No accidents, 2 Owners, Personal use","$6,995 "
GMC,Sierra 2500,"118,134 miles",2004,Black,Gray,"No accidents, 2 Owners, Personal use","$15,888 "
Ford,F-150,"30,405 miles",2018,Gray,Black,"No accidents, 1 Owner, Personal use","$43,500 "
Ram,1500,"15,214 miles",2017,White,Gray,"No accidents, 1 Owner, Personal use","$38,995 "
Ram,1500,"72,934 miles",2015,Silver,Gray,"No accidents, 2 Owners, Personal use","$23,444 "
Dodge,Ram 3500,"202,262 miles",2006,Gray,Gray,"1 accident, 4 Owners, Personal use","$17,997 "
Ford,Super Duty F-250,"77,390 miles",2017,White,Gray,"1 accident, 1 Owner, Personal use","$27,995 "
Chevrolet,Silverado 1500,"24,072 miles",2018,Black,Black,"No accidents, 1 Owner, Personal use","$37,975 "
Toyota,Tacoma,"2,785 miles",2020,White,Gray,"No accidents, 1 Owner, Personal use","$39,590 "
